OBJECTID,BlockLot,PermitNum,NEIGHBOR,DateIssue,Converted,Year,Longitude,Latitude
1616429,5912B005,USE2020-53703,BELAIR-EDISON,12/24/20,12/24/20 0:00,2020,-76.56856833,39.32283554
1616503,5913 031,USE2020-52978,BELAIR-EDISON,7/23/20,7/23/20 0:00,2020,-76.56862154,39.32370267
1616597,5916 013,USE2020-50093,BELAIR-EDISON,1/13/20,1/13/20 0:00,2020,-76.56565815,39.32401551
1616896,5920 090,USE2020-52689,BELAIR-EDISON,7/22/20,7/22/20 0:00,2020,-76.56348007,39.3218554
1617033,5924 004,USE2020-53649,BELAIR-EDISON,9/16/20,9/16/20 0:00,2020,-76.56870916,39.32123208
1617355,5930 032,USE2019-52112,BELAIR-EDISON,4/15/20,4/15/20 0:00,2020,-76.56398053,39.32898907
1617375,5930 053,USE2020-51638,BELAIR-EDISON,4/29/20,4/29/20 0:00,2020,-76.56386133,39.32826674
1617429,5931 038,USE2019-55785,BELAIR-EDISON,2/11/20,2/11/20 0:00,2020,-76.56264678,39.32777398
1618372,5958 046,USE2020-50356,FRANKFORD,6/3/20,6/3/20 0:00,2020,-76.55392962,39.32908929
1618474,5963A001B,USE2020-51527,FRANKFORD,4/7/20,4/7/20 0:00,2020,-76.55795783,39.32946235
1618487,5963A006,USE2019-56300,FRANKFORD,1/21/20,1/21/20 0:00,2020,-76.55967358,39.32624446
1619024,6003 019,USE2020-51655,FRANKFORD,4/17/20,4/17/20 0:00,2020,-76.54764163,39.33988987
1619704,6019P068,USE2020-50519,FRANKFORD,7/30/20,7/30/20 0:00,2020,-76.53301618,39.33811039
1619706,6019P070,USE2019-50774,FRANKFORD,3/13/20,3/13/20 0:00,2020,-76.53299528,39.33821893
1620858,6047 039,USE2020-52638,FRANKFORD,7/20/20,7/20/20 0:00,2020,-76.53974915,39.32227057
1620896,6047 077,USE2020-54329,FRANKFORD,9/28/20,9/28/20 0:00,2020,-76.53992605,39.32301851
1621004,6048 102,USE2019-52624,FRANKFORD,11/6/20,11/6/20 0:00,2020,-76.53839204,39.32275163
1623237,6118 015,USE2020-53155,PARKSIDE,7/24/20,7/24/20 0:00,2020,-76.56056913,39.32483614
1623611,6122 074,USE2020-50540,PARKSIDE,3/3/20,3/3/20 0:00,2020,-76.55442193,39.32449427
1623653,6123 040,USE2019-55008,PARKSIDE,3/17/20,3/17/20 0:00,2020,-76.55414977,39.32387326
1623659,6123 046,USE2020-51904,PARKSIDE,5/4/20,5/4/20 0:00,2020,-76.55379201,39.3239167
1624930,6154 030,USE2019-53522,ELLWOOD PARK/MONUMENT,1/10/20,1/10/20 0:00,2020,-76.57053587,39.29897572
1624973,6156 024,USE2020-53202,ELLWOOD PARK/MONUMENT,8/19/20,8/19/20 0:00,2020,-76.57162147,39.2972993
